,Commented by,Replied by,Date,Likes,isHearted,isPinned,Comment,(view source)
1,Kaveen Premudika,A/L Kuppiya,08/04/20 5:34:57,1,no,no,Ko sir මේකේ ඉතුරු ටික,view comment
2,nishadi wijerathna,Imåshå Nådunii,08/04/20 9:57:22,5,no,no,Thank sir👍👍👍👍👍👍,view comment
3,Sandun Kalum,,08/04/20 10:04:36,1,no,no,Full video nadda,view comment
4,nishadi wijerathna,supeshala Sasmika,08/04/20 10:13:16,2,no,no,Puluwan nan youtube eke full video eka danawada? Plzzz,view comment
5,Ineshika Priyangi,,12/04/20 13:26:37,4,no,no,Puluwannm. ...keti satahan gana vedio ekak karannko,view comment
6,tharusha Induwara,,04/05/20 12:45:54,1,no,no,Ko sir ithuru tika meke,view comment
7,supeshala Sasmika,Sunil Jayarathna,14/05/20 16:13:32,4,no,no,👏👏👏,view comment
8,Hansika Vimukthi,,19/05/20 04:13:35,1,no,no,Ko sir anith katha tike wichara,view comment
9,LOL MASTER,,19/05/20 20:19:16,5,no,no,සර් බොහොම ස්තුතියි ..🙏🙏,view comment
10,Imåshå Nådunii,Sunil Jayarathna,20/05/20 17:23:34,3,no,no,Tnx sir,view comment
11,samee art work,Kimko Kimko,04/06/20 15:02:25,10,no,no,Old sinhala eketh video genawanam hodai,view comment
12,ishadi Piumini,Kimko Kimko,10/06/20 7:16:40,2,no,no,Sir campus yanna sinhala aniwarya na neda,view comment
13,Sunil Jayarathna,,18/06/20 00:14:00,4,no,no,Sirge number eka denn puluwanda,view comment
14,kaluthotage oshadha,,04/07/20 6:34:40,1,no,no,nice,view comment
15,fathima shifna,,18/07/20 07:27:31,3,no,no,Thank you sir,view comment
16,SONGS HUB,fathima shifna,22/07/20 14:16:37,5,no,no,නියමයි සර් ❤️,view comment
17,Kimko Kimko,,25/07/20 11:40:33,1,no,no,Sir ituru tik nadd,view comment
18,SONGS HUB,,28/07/20 14:03:02,2,no,no,සර් ඉතුරු ටිකත් ඕනේ❤️,view comment
19,Shan Max,Soothe Music,31/07/20 07:41:49,2,no,no,Thank you sir,view comment
20,DINU SAMARASENA,,01/08/20 6:39:31,0,no,no,ඉතුරු ටිකත් කරන්නකෝ ස්‍ර්,view comment
21,Prabodi Kaushalya,,05/08/20 21:33:18,2,no,no,thank you sir,view comment
22,miusic update,,11/08/20 13:31:55,5,no,no,සල්ලි බලාපොරොත්තවෙන් මේක කරන්නෙ ..You Tube එකේ බාගයක් දාලා vidio එකේ අනිත් ටික web page එකකින් ගන්න කියලා කියන්නෙ.....එක්කො නොදා ඉන්න මේ ටිකත් ...🙄,view comment
23,Like For Like,,13/08/20 15:56:59,0,no,no,"me channel eke a/l karana apita lessons thiyenawa... 
 https://youtu.be/p2RVuxp-2pk",view comment
24,Iduni Bandara,Dilsha Prasadi,19/08/20 10:38:16,1,no,no,Aap eken balanna beri ai videos kedi kedi play wenne balanna bh nea.epa wenwa😡😡😡😡😡,view comment
25,Theekshana Sandeep,,20/08/20 16:36:16,5,no,no,Nice teaching sir 🙏 ithuru tikath free dunnanm thawath hodai,view comment
26,Sathushka praveen,,22/08/20 00:05:15,10,no,no,ගොඩාක් වටිනවා සර්.. සර්ට ගොඩාක් පින්.. 😊🙏🙏🙏🙏❤️,view comment
27,chamiya,Dilsha Prasadi,01/09/20 17:34:10,1,no,no,Sir online class karanawada,view comment
28,Drama & Theater by Niranjala Karunarathne,,02/09/20 23:57:41,2,no,no,Great work,view comment
29,Chamara Malwaththa,,04/09/20 23:31:40,3,no,no,"Ane sir aluth silabas eke tyna serama purathana gadya pote katha tikama karanna sir, sirta pin sidda wei.. budu saranai sir!",view comment
30,Soothe Music,,29/09/20 14:56:31,3,no,no,"👍
 God Blessed
 Love and support from me😊💐❤
 #soothemusic",view comment
31,Dilsha Prasadi,,03/10/20 7:27:27,2,no,no,Sir purathana gadya okkoma karannako sir...sirta pin lebeii..,view comment
32,Minuri Chamani,,16/10/20 04:10:46,2,no,no,Ane ko ithuru tika...☹️,view comment
33,Oshadhi Sanindu,,22/10/20 12:31:56,5,no,no,thank you sir!!!!,view comment
34,premalal pushpakumara,,14/11/20 06:55:22,2,no,no,Thanx sir,view comment
35,imashi ayodhya,,17/12/20 06:56:31,1,no,no,niyamai sir,view comment
36,Life Life,,20/12/20 17:33:39,9,no,no,බුදුන්ගෙන් බණ අසා නිවන් දැක මසුරු සිත් තුනී වෙන තෙක් තණ අග ගලා තෙල් බිංදුවක් විතරක් අනුන්ට නොදුන් විරූය....සද්ධර්මරත්නාවලිය ලියූ ධර්මසේන හාමුදුරුවන් භාෂා සිත්තම්කරුවෙකි...,view comment
37,Vindya Gimhani,,23/12/20 09:13:52,2,no,no,ඉතුරු ටික කෝ සර්,view comment
38,Shashindi Upeshala,,14/01/21 05:25:56,2,no,no,Thanks sir,view comment
39,Janath Perera,Lahiru Madushanka,30/01/21 05:45:24,2,no,no,"Sir,3 rd shai.. New sellabus ekinm liyna ayat wenam pepars ekkd.. & New ,All dekatm 1 m pepar ekkad?",view comment
40,Chamo Chamo,,15/03/21 03:05:26,1,no,no,ඉතිරි කොටස නැද්ද,view comment
41,Lahiru Madushanka,,05/05/21 14:24:57,2,no,no,සල්ලි ගෙවන්න ඕනිද ඉතුරු ටික බලන්න ඔයාලගෙ වෙබ්සයිට් එකේ ? රු.99 ක් එක වීඩියෝ එකකට ?,view comment
42,Kaushalya Madushali,,07/05/21 3:48:09,2,no,no,Thanks sir,view comment
43,Pulsara Samapath,Darshika Madhushani,14/05/21 08:22:38,1,no,no,A/L hindi language 1 karanne kauda?,view comment
44,yasuri kavindya,,26/06/21 08:05:45,1,no,no,Sinhala walata oona poth tika kiyanna puluwnda,view comment
45,Darshika Madhushani,Malki Manodya,29/06/21 14:48:46,2,no,no,Thenx sir ..bohoma watinw,view comment
46,Darshika Madhushani,,29/06/21 14:50:05,2,no,no,Sir short note gennko video ekk,view comment
47,Dilsha Ayeshani,,24/08/21 12:02:01,2,no,no,Thank you sar,view comment
48,roshini Maduwanthi,shehani apsara,31/08/21 01:31:21,1,no,no,Godak hodata theruna sir👍👍,view comment
49,Sakuni Sandeepani2003,shehani apsara,27/10/21 08:09:04,2,no,no,Sir liynnth kiyl denko,view comment
50,Malki Manodya,,04/12/21 8:26:11,2,no,no,Thank you sir🙏,view comment
51,shehani apsara,,12/12/21 12:10:00,1,no,no,❤,view comment